Date,Client,Type,Invoice #,Weight (g),Rate (THB/g),Amount (THB)
2025-11-11,Spoke,BUY,PO20250001,139.22,4185,582635.7
2025-11-06,Oriantal,BUY,IV251107007,381.09,4160.435,1585500.17
2025-11-05,Hitavi,SELL,UP20250349,75,4176,313200
2025-11-05,Prosper,BUY,I-LC250022,312.49,4135,1292146.15
2025-11-05,New friends,SELL,UP20250348,13,4175,54275
2025-11-04,Rewa,SELL,UP20250346,60,4165,249900
2025-11-04,Royal,SELL,UP20250347,400,4171,1668400
2025-11-02,Gold Jewelry,SELL,UP20250345,30,4205,126150
2025-11-02,Gemshine,SELL,UP20250344,36,4192,150912
2025-11-02,Oriantal,BUY,IV251103007,180.19,4145.959,747060.35
2025-10-28,Sparklig,SELL,UP20250343,200,4107,821400
2025-10-28,Oriantal,BUY,IV251029001,709.05,4284.647,3038028.96
2025-10-27,Royal,SELL,UP20250339,120,0,0
2025-10-27,Rewa,SELL,UP20250340,65,4211,273715
2025-10-27,Hi END,SELL,UP20250341,100,4192,419200
2025-10-27,Hitavi,SELL,UP20250342,400,4109,1643600
2025-10-26,Gold Jewelry,SELL,UP20250338,30,4310,129300
2025-10-23,Royal,SELL,UP20250337,280,4356,1219680
2025-10-21,Rewa,SELL,UP20250336,50,4399,219950
2025-10-21,Oriantal,BUY,IV251022007,556.52,4414.972,2457020.22
2025-10-19,White Rock,SELL,UP20250335,92.64,4521,418825.44
2025-10-19,Gemshine,SELL,UP20250334,70,4500,315000
2025-10-19,Royal,SELL,UP20250332,50,4509,225450
2025-10-16,Oriantal,BUY,IV251017003,923.98,4398.571,4064191.63
2025-10-15,Hitavi,SELL,UP20250331,80,0,0
2025-10-14,Royal,SELL,UP20250330,260,4390,1141400
2025-10-14,Rewa,SELL,UP20250328,60,4396,263760
2025-10-14,Kaa,SELL,UP20250329,500,4394,2197000
2025-10-14,Oriantal,BUY,IV251015010,224.41,4363.712,979260.61
2025-10-13,Royal,SELL,UP20250327,300,4376,1312800
2025-10-13,Gemshine,SELL,UP20250326,100,4373,437300
2025-10-09,Anan,SELL,UP20250325,500,4095,2047500
2025-10-09,Royal,SELL,UP20250322,50,4211,210550
2025-10-09,Oriantal,BUY,IV251010007,892.15,4185.881,3734433.73
2025-10-09,Hitavi,SELL,UP20250323,425,4183,1777775
2025-10-09,Bhogas,SELL,UP20250324,41.01,4236,173718.36
2025-10-08,Ahura,SELL,UP20250321,22,4242,93324
2025-10-08,Gold Jewelry,SELL,UP20250320,30,4222,126660
2025-10-07,Royal,SELL,UP20250319,260,4204,1093040
2025-10-06,Oriantal,BUY,IV251007005,600.17,4087.286,2453066.44
2025-10-06,Gemshine,SELL,UP20250318,100,4217,421700
2025-10-06,Rewa,SELL,UP20250317,130,4173,542490
2025-10-05,Rewa,SELL,UP20250315,85,4107,349095
2025-10-05,Oriantal,BUY,IV251006008,165.75,3903.765,647049.05
2025-10-05,Multi,SELL,UP20250316,100,4097,409700
2025-10-02,Oriantal,BUY,IV251003008,797.26,3856.728,3074814.97
2025-10-01,Rewa,SELL,UP20250314,48,4060,194880
2025-09-29,Rewa,SELL,UP20250313,92,4035,371220
2025-09-28,Royal,SELL,UP20250312,500,3955,1977500
2025-09-28,Gemshine,SELL,UP20250311,70,3957,276990
2025-09-25,Ahura,SELL,UP20250310-1,26,3892,101192
2025-09-25,Multi,SELL,UP20250310,100,3880,388000
2025-09-23,NYJ,SELL,UP20250308,250,3870,967500
2025-09-23,Rewa,SELL,UP20250309,104.65,3892,407297.8
2025-09-23,Oriantal,BUY,IV250924005,717.62,3758.027,2696835.34
2025-09-22,White Rock,SELL,UP20250306,84,3861,324324
2025-09-22,Gemshine,SELL,UP20250307,70,3855,269850
2025-09-22,Oriantal,BUY,IV250922009,357.84,3741.886,1338996.49
2025-09-21,Rewa,SELL,UP20250305,45,0,0
2025-09-21,NYJ,SELL,UP20250304,200,0,0
2025-09-17,Rewa,SELL,UP20250303,55,3769,207295
2025-09-16,Rewa,SELL,UP20250301,110,3780,415800
2025-09-16,Royal,SELL,UP20250300,220,3773,830060
2025-09-15,Gold Jewelry,SELL,MIG20250915R371SELL,40,3790,151600
2025-09-15,Oriantal,BUY,IV250916006,450.14,3718.122,1673675.44
2025-09-14,Gemshine,SELL,UP20250298,50,3741,187050
2025-09-14,White Rock,SELL,UP20250297,125,3741.5,467687.5
2025-09-14,NYJ,SELL,UP20250296,250,3741,935250
2025-09-11,Oriantal,BUY,IV25012014,906.2,3699.633,3352607.43
2025-09-10,Rewa,SELL,UP20250295,25,3749,93725
2025-09-10,Oriantal,BUY,IV25091108,211.6,3683.5,779428.6
2025-09-10,Kaa,SELL,UP20250294,500,3732,1866000
2025-09-09,NYJ,SELL,UP20250293,50,3731,186550
2025-09-09,Oriantal,BUY,IV250910002,716.62,3690.785,2644890.35
2025-09-09,Royal,SELL,UP20250292,300,3725,1117500
2025-09-08,Rewa,SELL,UP20250291,65,3745,243425
2025-09-07,Hitavi,SELL,UP20250290,200,3700,740000
2025-09-07,Zar Trading,SELL,UP20250289,200,3690,738000
2025-09-07,Rewa,SELL,UP20250288,95,3718,353210
2025-09-07,Lume,SELL,UP20250287,250,3690,922500
2025-09-04,Oriantal,BUY,IV250905016,924.67,3643.635,3369159.98
2025-09-04,Rewa,SELL,UP20250285,500,3695,1847500
2025-09-04,Anan,SELL,UP20250286,75,3707,278025
2025-09-03,NYJ,SELL,UP20250284,80,3682,294560
2025-09-03,Gold Jewelry,SELL,UP20250283,40,3708,148320
2025-09-02,Royal,SELL,UP20250282,100,3689,368900
2025-09-01,Oriantal,BUY,IV250902006,1212.52,3555.22,4310775.35
2025-08-31,Royal,SELL,UP20250281,200,3638,727600
2025-08-31,Anan,SELL,UP20250280,500,3622,1811000
2025-08-27,Prosper,BUY,I-L-C250020,112.68,3518,396408.24
2025-08-27,Ahura,SELL,UP20250278,44.89,3544,159090.16
2025-08-27,Rewa,SELL,UP20250275,55,3565,196075
2025-08-27,Gemshine,SELL,UP20250274,50,3550,177500
2025-08-27,Gold Jewelry,SELL,UP20250277,40,3565,142600
2025-08-27,Kaa,SELL,UP20250276,500,3543,1771500
2025-08-27,Oriantal,BUY,IV250828014,681.45,3520.067,2398749.66
2025-08-26,Oriantal,BUY,IV250827006,1041.51,3491.914,3636863.35
2025-08-26,Anan,SELL,UP20250273,500,3546,1773000
2025-08-25,Rewa,SELL,UP20250272,45,3555,159975
2025-08-24,Rewa,SELL,UP20250271,25,3535,88375
2025-08-24,New friends,SELL,UP20250270,21.01,3516,73871.16
2025-08-22,Payal,SELL,UP20250269,50,3482,174100
2025-08-21,Payal,SELL,UP20250268,75,3478,260850
2025-08-21,Rewa,SELL,UP20250267,33,3525,116325
2025-08-20,Royal,SELL,UP20250265,180,3511,631980
2025-08-20,NYJ,SELL,UP20250264,200,3522,704400
2025-08-20,NYJ,SELL,UP20250266,250,3525,881250
2025-08-19,Rewa,SELL,UP20250263,60,3509,210540
2025-08-18,Oriantal,BUY,IV250819003,888.41,3488.309,3099048.6
2025-08-18,Rewa,SELL,UP20250261,35,3523,123305
2025-08-18,Royal,SELL,UP20250258,50,3503,175150
2025-08-18,Malti,SELL,UP20250260,100,3502,350200
2025-08-18,Gemshine,SELL,UP20250259,60,3509,210540
2025-08-18,Zar Trading,SELL,UP20250262,300,3488,1046400
2025-08-17,Gold Jewelry,SELL,UP20250256,56,3525,197400
2025-08-17,Oriantal,BUY,IV250818002,630.03,3490.055,2198839.35
2025-08-17,Anan,SELL,UP20250255,500,3499,1749500
2025-08-17,Oriantal,SELL,MIG20250817R321SELL,50,3503,175150
2025-08-17,Petchseng,SELL,UP20250257,100,3480,348000
2025-08-14,Oriantal,BUY,IV250815004,752.11,3488.5,2623735.74
2025-08-13,Rewa,SELL,UP20250254,97,3515,340955
2025-08-13,NYJ,SELL,UP20250250,100,3513,351300
2025-08-13,Oriantal,BUY,IV250814004,1201.68,3510.657,4218686.3
2025-08-13,NYJ,SELL,UP20250253,100,3518,351800
2025-08-13,Gold jewelry,SELL,UP20250251,100,3527,352700
2025-08-13,Royal,SELL,UP20250249,200,3505,701000
2025-08-13,White Rock,SELL,UP20250252,250,3505,876250
2025-08-12,Anan,SELL,UP20250248,500,3499,1749500
2025-08-12,Oriantal,BUY,IV250813004,610.88,3515.504,2147551.08
2025-08-10,ROyal,SELL,UP20250245,200,3523,704600
2025-08-10,Malti,SELL,UP20250246,25,3524,88100
2025-08-10,Rewa,SELL,UP20250247,95,3535,335825
2025-08-10,NYJ,SELL,UP20250244,400,3531,1412400
2025-08-07,Anan,SELL,UP20250243,500,3535,1767500
2025-08-06,Royal,SELL,UP20250240,200,3521,704200
2025-08-06,Gemshine,SELL,UP20250242,85,3528,299880
2025-08-06,Gold jewelry,SELL,UP20250241,50,3537,176850
2025-08-06,Oriantal,BUY,IV250806001,516.56,3483.278,1799322.08
2025-08-04,White Rock,SELL,UP20250239,252.59,3500,884065
2025-08-04,NYJ,SELL,UP20250237,100,3529,352900
2025-08-04,Prosper,BUY,I-LC250019,178.62,3483,622133.46
2025-08-04,Rewa,SELL,UP20250238,75,3529,264675
2025-08-03,Oriantal,BUY,IV250804002,1092.2,3478.405,3799113.94
2025-08-03,Rewa,SELL,UP20250236,55,3524,193820
2025-07-31,Anan,SELL,UP20250234,1000,3485,3485000
2025-07-31,Gold jewelry,SELL,UP20250233,50,3501,175050
2025-07-31,Malti,SELL,UP20250235,25,3475,86875
2025-07-29,Rajas,SELL,UP20250232,30,3482,104460
2025-07-29,Rewa,SELL,UP20250231,82,3492,286344
2025-07-24,Oriantal,BUY,IV250725503,799.98,3498.916,2799062.82
2025-07-23,Anan,SELL,UP20250229,500,3509,1754500
2025-07-23,Royal,SELL,UP20250228,80,3510,280800
2025-07-23,Rewa,SELL,UP20250230,48,3514,168672
2025-07-21,Royal,SELL,UP20250226,210,3530,741300
2025-07-21,Oriantal,BUY,IV250722001,1000,3488.735,3488735
2025-07-21,Rewa,SELL,UP20250227,26,3535,91910
2025-07-20,Rajas,SELL,UP20250225,30,3503,105090
2025-07-20,Gold jewelry,SELL,UP20250223,50,3522,176100
2025-07-20,Gemshine,SELL,UP20250224,100,3514,351400
2025-07-17,Rewa,SELL,UP20250221,100,3497,349700
2025-07-17,Anan,SELL,UP20250222,500,3496,1748000
2025-07-16,Oriantal,BUY,IV250717003,1089.51,3489.628,3801984.6
2025-07-16,Royal,SELL,UP20250220,200,3501,700200
2025-07-15,Anan,SELL,UP20250219,500,3496,1748000
2025-07-14,Royal,SELL,UP20250218,60,3522,211320
2025-07-13,Rewa,SELL,UP20250217,103,3528,363384
2025-07-10,Gemshine,SELL,UP20250216,39,3532,137748
2025-07-08,Royal,SELL,UP20250214,100,3471,347100
2025-07-08,Oriantal,BUY,IV250709006,288,3471.281,999728.93
2025-07-08,Rewa,SELL,UP20250213,91,3477,316407
2025-07-08,Gold jewelry,SELL,UP20250215,50,3489,174450
2025-07-07,Hitavi,SELL,UP20250211,460,3477,1599420
2025-07-07,Gemshine,SELL,UP20250212,25,3505,87625
2025-07-07,Oriantal,BUY,IV250708004,1225,3465.313,4245008.43
2025-07-07,Royal,SELL,UP20250210,50,3492,174600
2025-07-06,Rajas,SELL,UP20250209,20,3487,69740
2025-07-06,Anan,SELL,UP20250208,1000,3475,3475000
2025-07-06,Oriantal,BUY,IV250707012,616.73,3486.616,2150300.69
2025-07-03,Prosper,BUY,I-lC250015,140.5,3473,487956.5
2025-07-02,Rewa,SELL,UP20250205,50,3500,175000
2025-07-02,Gemshine,SELL,UP20250206,85,3494,296990
2025-07-02,Gold jewelry,SELL,UP20250207,50,3513,175650
2025-07-01,Oriantal,BUY,IV250702008,606.61,3467.337,2103321.3
2025-07-01,Royal,SELL,UP20250203,250,3495,873750
2025-07-01,Social,SELL,UP20250204,200,3450,690000
2025-06-29,Zar Trading,SELL,UP20250201,250,3445,861250
2025-06-26,Anan,SELL,UP20250199,500,3474,1737000
2025-06-26,Oriantal,BUY,IV250627004,652.32,3522.757,2297964.85
2025-06-26,Hitavi,SELL,UP20250200,28.99,3450,100015.5
2025-06-25,Rewa,SELL,UP20250198,117.42,3492,410030.64
2025-06-24,Rewa,SELL,UP20250197,75,3512,263400
2025-06-24,Hitavi,SELL,UP20250196,300.14,3507,1052590.98
2025-06-22,Rajas,SELL,UP20250193,50,3578,178900
2025-06-22,Pushapa,SELL,UP20250195,30,3570,107100
2025-06-22,Royal,SELL,UP20250192,60,3579,214740
2025-06-22,Jenny,SELL,UP20250194,28.012,3570,100002.84
2025-06-19,Oriantal,BUY,IV250620002,1203.96,3552.447,4277004.09
2025-06-18,Gemshine,SELL,UP20250188,50,3578,178900
2025-06-18,Prosper,BUY,I-LC250014,201.63,3537,713165.31
2025-06-18,Royal,SELL,UP20250190,50,3574,178700
2025-06-18,Anan,SELL,UP20250191,1000,3564,3564000
2025-06-18,Rewa,SELL,UP20250189,75,3580,268500
2025-06-18,Oriantal,BUY,IV250619007,915.16,3548.648,3247580.7
2025-06-17,Royal,SELL,UP20250186,200,3558,711600
2025-06-17,Gold jewelry,SELL,UP20250187,50,3575,178750
2025-06-16,Anan,SELL,UP20250185,500,3559,1779500
2025-06-15,Rewa,SELL,UP20250184,100,3592,359200
2025-06-15,Oriantal,BUY,IV250616001,676.65,3492.435,2363156.14
2025-06-11,Gemshine,SELL,UP20250182,51.42,3536,181821.12
2025-06-11,New friends,SELL,UP20250183,16,3380,54080
2025-06-10,Prosper,BUY,I-LC250012,276.45,3472,959834.4
2025-06-09,Anan,SELL,UP20250179,500,3493,1746500
2025-06-09,Oriantal,BUY,IV25061001,822.2,3526.28,2899307.42
2025-06-09,Gold jewelry,SELL,UP20250181,50,3515,175750
2025-06-09,Rewa,SELL,UP20250180,50,3498,174900
2025-06-05,Oriantal,BUY,IV250606001,639.45,3521.488,2251815.5
2025-06-05,Royal,SELL,UP20250177,360,3544,1275840
2025-06-05,Social,SELL,UP20250178,300,0,0
2025-06-04,Gemshine,SELL,UP20250176,90,3546,319140
2025-06-03,Rewa,SELL,UP20250173,50,0,0
2025-06-03,Bhogas,SELL,UP20250174,100,3537,353700
2025-06-03,Kaa,SELL,UP20250172,500,3541,1770500
2025-06-03,Royal,SELL,UP20250175,200,3535,707000
2025-06-02,Gold jewelry,SELL,UP20250170,50,3550,177500
2025-06-02,Royal,SELL,UP20250171,100,3536,353600
2025-06-01,Rewa,SELL,UP20250169,100,3517,351700
2025-05-30,Oriantal,BUY,IV250531004,565.66,3455.176,1954454.86
2025-05-29,Gemshine,SELL,UP20250168,100,3476,347600
2025-05-29,Oriantal,BUY,IV25053005,644.94,3454.671,2228055.52
2025-05-28,Rewa,SELL,UP20250163,25,3485,87125
2025-05-28,Kaa,SELL,UP20250162,500,3458,1729000
2025-05-28,Raja's,SELL,UP20250166,40,3461,138440
2025-05-28,Renbow,SELL,UP20250167,5,3482,17410
2025-05-28,Anan,SELL,UP20250165,500,3462,1731000
2025-05-28,Royal,SELL,UP20250164,160,3472,555520
2025-05-28,Oriantal,BUY,IV250529002,569.18,3478.408,1979840.27
2025-05-27,royal,SELL,UP20250160,150,3482,522300
2025-05-27,Rewa,SELL,UP20250161,50,3493,174650
2025-05-26,Hitavi,SELL,UP20250159,490,3499,1714510
2025-05-25,Royal,SELL,UP20250158,50,3509,175450
2025-05-25,Rewa,SELL,UP20250157,25,3512,87800
2025-05-22,Bhogas,SELL,UP20250156,37.78,3492,131927.76
2025-05-22,Gemshine,SELL,UP20250155,100,3479,347900
2025-05-22,Oriantal,BUY,IV250523012,1585.06,3481.378,5518193.01
2025-05-21,Gold jewelry,SELL,UP20250151,50,3525,176250
2025-05-21,Hitavi,SELL,UP20250153,240,3512,842880
2025-05-21,Ranbow,SELL,UP20250154,10,3502.5,35025
2025-05-21,Rishu,SELL,UP20250152,50,3495,174750
2025-05-21,Oriantal,BUY,IV250521008,897.6,3453.406,3099777.23
2025-05-20,Anan,SELL,UP20250150,500,3492,1746000
2025-05-19,Royal,SELL,UP20250148,100,3442,344200
2025-05-19,Gemshine,SELL,UP20250149,96,3442,330432
2025-05-18,Oriantal,BUY,IV250519012,785.35,3439.215,2700987.5
2025-05-18,Rewa,SELL,UP20250147,75,3459,259425
2025-05-18,Raja's,SELL,UP20250146,30,3447,103410
2025-05-18,Anan,SELL,UP20250145,500,3457,1728500
2025-05-15,Royal,SELL,UP20250144,200,3442,688400
2025-05-15,NYJ,SELL,UP20250143,50,3449,172450
2025-05-14,future,SELL,UP20250142,250,3380,845000
2025-05-14,Gold jewelry,SELL,UP20250140,50,3408,170400
2025-05-14,Royal,SELL,UP20250141,100,3399,339900
2025-05-13,Oriantal,BUY,IV250514004,869.77,3487.9,3033670.78
2025-05-13,Gemshine,SELL,UP20250139,100,3476,347600
2025-05-13,NYJ,SELL,UP20250138,250,3479,869750
2025-05-12,Royal,SELL,UP20250136,120,3479,417480
2025-05-12,Anan,SELL,UP20250134,500,3479,1739500
2025-05-12,Raja's,SELL,UP20250137,30,3484,104520
2025-05-12,Rewa,SELL,UP20250135,50,3485,174250
2025-05-09,Royal,SELL,UP20250133,100,3542,354200
2025-05-06,Royal,SELL,UP20250131,100,3579,357900
2025-05-06,Gemshine,SELL,UP20250132,100,3575,357500
2025-05-06,Oriantal,BUY,IV250507001,1135.18,3508.849,3983175.21
2025-05-05,Gold jewelry,SELL,UP20250130,50,3580,179000
2025-05-05,Royal,SELL,UP20250129,50,3565,178250
2025-05-01,Oriantal,BUY,IV250502002,847.05,3538.922,2997643.88
2025-05-01,Anan,SELL,UP20250128,1000,3503,3503000
2025-04-29,Hitavi,SELL,UP20250127,28.58,3500,100030
2025-04-29,future,SELL,UP20250124,250,3560,890000
2025-04-29,Bhogas,SELL,UP20250125,30.22,3560,107583.2
2025-04-29,Gold jewelry,SELL,UP20250126,100,3586,358600
2025-04-28,Royal,SELL,UP20250122,110,3569,392590
2025-04-28,Gold jewelry,SELL,UP20250123,50,3573,178650
2025-04-28,NYJ,SELL,UP20250121,140,3575,500500
2025-04-27,Garo,SELL,UP20250119,250,3575,893750
2025-04-27,Rewa,SELL,UP20250120,50,3570,178500
2025-04-24,Oriantal,BUY,IV250425002,700.24,3584.123,2509746.29
2025-04-23,Mosaic,SELL,UP20250118,50,3586,179300
2025-04-22,Hitavi,SELL,UP20250117,450,3585,1613250
2025-04-22,Rewa,SELL,UP20250116,50,3588,179400
2025-04-22,Oriantal,BUY,IV250423002,810.32,3623.851,2936478.94
2025-04-22,Gemshine,SELL,UP20250113,100,3646,364600
2025-04-22,Gold jewelry,SELL,UP20250115,100,3592,359200
2025-04-22,Creative,SELL,UP20250114,550,3565,1960750
2025-04-21,Royal,SELL,UP20250111,160,3714,594240
2025-04-21,Gold jewelry,SELL,UP20250112,50,3730,186500
2025-04-20,Royal,SELL,UP20250110,50,3626,181300
2025-04-20,Kaa,SELL,UP20250109,500,3626,1813000
2025-04-10,Oriantal,SELL,MIG20250410R138SELL,228,3405.3,776408.4
2025-04-10,Oriantal,BUY,IV250411001,1082.4,3389.103,3668365.09
2025-04-09,Gold jewelry,SELL,UP20250108,50,3452,172600
2025-04-09,NYJ,SELL,UP20250107,100,3436,343600
2025-04-09,Royal,SELL,UP20250106,100,3444,344400
2025-04-07,Facets,SELL,UP20250104,420,3346,1405320
2025-04-07,Oriantal,BUY,IV250408008,1074.06,3352.341,3600615.37
2025-04-07,Petchseng,SELL,UP20250103,59.88,3340,199999.2
2025-04-07,Gemshine,SELL,UP20250100,25,3384,84600
2025-04-07,Anan,SELL,UP20250102,500,3347,1673500
2025-04-07,Gemshine,SELL,UP20250105,150,3371,505650
2025-04-07,Royal,SELL,UP20250101,130,3347,435110
2025-04-06,Rewa,SELL,UP20250099,100,3389,338900
2025-04-03,Oriantal,SELL,PO250404001,535,3447.28,1844294.8
2025-04-03,Oriantal,BUY,IV250404003,1784.82,3440.336,6140380.5
2025-04-03,Rewa,SELL,UP20250098,75,3452,258900
2025-04-02,Gold jewelry,SELL,UP20250095,50,3474,173700
2025-04-02,Bhogas,SELL,UP20250094,65.22,3457,225465.54
2025-04-02,Gemshine,SELL,UP20250097,100,3488,348800
2025-04-02,NYJ,SELL,UP20250096,500,3491,1745500
2025-04-01,Rewa,SELL,UP20250093,45,3455,155475
2025-04-01,Gold jewelry,SELL,UP20250092,100,3462,346200
2025-04-01,Rewa,SELL,UP20250091,20,3455,69100
2025-03-31,Mosaic,SELL,UP20250089,50,3451,172550
2025-03-31,Rewa,SELL,UP20250090,50,3416,170800
2025-03-31,Prosper,BUY,CA250006,182.5,3338,609185
2025-03-30,Anan,SELL,UP20250087,500,3411,1705500
2025-03-30,Oriantal,BUY,IV250331009,1872.29,3358.468,6288026.05
2025-03-30,NYJ,SELL,UP20250086,450,3400,1530000
2025-03-30,Rewa,SELL,UP20250088,30,3327,99810
2025-03-27,Mosaic,SELL,UP20250082,50,3364,168200
2025-03-27,Gemshine,SELL,UP20250083,97.77,3366,329093.82
2025-03-27,Creative,SELL,UP20250085,800,3393,2714400
2025-03-27,Gold jewelry,SELL,UP20250084,50,3379,168950
2025-03-26,Royal,SELL,UP20250081,70,3318,232260
2025-03-24,Oriantal,BUY,IV250325006,1061.22,3297.829,3499722.09
2025-03-24,Royal,SELL,UP20250080,130,3308,430040
2025-03-23,Rewa,SELL,UP20250079,50,3306,165300
2025-03-21,Rewa,SELL,UP20250078,150,3311,496650
2025-03-20,Royal,SELL,UP20250075,50,3310,165500
2025-03-20,Gold Jewelry,SELL,UP20250076,50,3311,165550
2025-03-20,Gold Jewelry,SELL,UP20250077,60,3315,198900
2025-03-19,Oriantal,BUY,IV25032005,1066.12,3279.664,3496515.38
2025-03-19,Rewa,SELL,UP20250074,50,3205,160250
2025-03-19,LUME,SELL,UP20250072,250,3295,823750
2025-03-19,Rewa,SELL,UP20250073,100,3254,325400
2025-03-18,Kaa,SELL,UP20250070,500,3294,1647000
2025-03-18,Royal,SELL,UP20250071,110,3287,361570
2025-03-17,Royal,SELL,UP20250069,200,3255,651000
2025-03-16,Oriantal,BUY,IV250317012,504.5,3196.474,1612621.13
2025-03-16,Mosaic,SELL,UP20250068,100,3236,323600
2025-03-14,Gold jewelry,SELL,UP20250067,50,3250,162500
2025-03-13,Royal,SELL,UP20250066,100,3244,324400
2025-03-12,LUME,SELL,UP20250064,250,3190,797500
2025-03-12,Rewa,SELL,UP20250065,50,3216,160800
2025-03-12,Royal,SELL,UP20250063,150,3205,480750
2025-03-11,Oriantal,BUY,IV250312006,505.5,3157.36,1596045.48
2025-03-10,Royal,SELL,UP20250060,200,3167,633400
2025-03-10,Rewa,SELL,UP20250061,50,3179,158950
2025-03-10,Hitavi,SELL,UP20250059,31.5,3175,100012.5
2025-03-10,LUME,SELL,UP20250062,250,3160,790000
2025-03-09,Gold jewelry,SELL,UP20250058,50,3175,158750
2025-03-06,Royal,SELL,UP20250057,50,3163,158150
2025-03-05,Facets,SELL,UP20250055,106,3163,335278
2025-03-05,Rewa,SELL,UP20250056,50,3161,158050
2025-03-04,Bhogas,SELL,UP20250054,56.4,3165,178506
2025-03-03,Royal,SELL,UP20250053,350,3161,1106350
2025-03-02,Bhogas,SELL,UP20250052,49.63,3163,156979.69
2025-03-02,Prosper,BUY,CA250003,124.81,3129,390530.49
2025-02-27,Gold jewelry,SELL,UP20250051,50,3155,157750
2025-02-26,Rewa,SELL,UP20250050,100,3162,316200
2025-02-26,Prosper,BUY,CA250002,151.5,3146,476619
2025-02-24,Oriantal,BUY,IV250225012,1360.35,3165.912,4306748.39
2025-02-24,Rewa,SELL,UP20250049,50,3202,160100
2025-02-23,R Can,SELL,UP20250048,300,3169,950700
2025-02-23,Oriantal,BUY,IV250224007,899.96,3167.948,2851026.48
2025-02-23,Anan,SELL,UP20250047,1000,3167.948,3167948
2025-02-20,Gold jewelry,SELL,UP20250044,50,3190,159500
2025-02-20,Bhogas,SELL,UP20250046,72.15,3178,229292.7
2025-02-20,Hi END,SELL,UP20250045,500,3174,1587000
2025-02-19,Oriantal,BUY,IV250220005,1175.13,3166.138,3720623.75
2025-02-18,Vaibhav,SELL,UP20250043,20,3201,64020
2025-02-18,Royal,SELL,UP20250040,600,3184,1910400
2025-02-18,Creative,SELL,UP20250042,150,3170,475500
2025-02-18,Value,SELL,UP20250041,100,3180,318000
2025-02-17,Rewa,SELL,UP20250039,50,3171,158550
2025-02-17,Kaa,SELL,UP20250037,500,3171,1585500
2025-02-17,Reflection,SELL,UP20250038,200,3160,632000
2025-02-13,Oriantal,BUY,IV250214007,634.09,3148.413,1996377.2
2025-02-13,Royal,SELL,UP20250035,300,3185,955500
2025-02-13,Gold Jewelry,SELL,UP20250036,50,3195,159750
2025-02-12,Oriantal,BUY,IV250212002,1000,3128.8,3128800
2025-02-11,KAA,SELL,UP20250034,500,3180,1590000
